city,language_score,sort_order
新加坡,100,1
北京,100,1
广州,100,1
上海,100,1
深圳,100,1
香港,99,1
洛杉矶,92,2
温哥华,92,2
伦敦,92,2
剑桥,92,2
伯克利,92,2
悉尼,91,2
墨尔本,91,2
都柏林,91,2
珀斯,90,2
布里斯班,90,2
奥克兰,90,2
堪培拉,89,2
阿德莱德,89,2
阿布扎比,83.7,3
阿姆斯特丹,81.9,3
海牙,81.0,3
鹿特丹,80.1,3
乌得勒支,78.3,3
斯德哥尔摩,76.5,3
哥本哈根,76.5,3
弗雷德里克斯贝,76.2,3
莱顿,75.6,3
代尔夫特,75.6,3
瓦赫宁根,74.7,3
格罗宁根,74.7,3
灵比,74.4,3
奥斯陆,72.9,3
克厄,71.7,3
乌普萨拉,70.2,3
隆德,69.3,3
柏林,68.4,4
维也纳,67.5,4
慕尼黑,66.6,4
班加罗尔,64.8,4
波恩,63,4
海德堡,62.1,4
图宾根,60.3,4
卡尔斯鲁厄,60.3,4
亚琛,59.4,5
苏黎世,59.4,5
奥格斯堡,58.8,5
巴黎,58,5
弗赖辛,57.9,5
鲁汶,57.6,5
根特,57.6,5
加兴,57.6,5
兰斯,57,5
海尔布隆,56.7,5
巴塞罗那,56.7,5
奥托布伦,56.7,5
帕莱索,56.4,5
芒通,56.4,5
索菲亚-安提波利斯,56.1,5
米兰,55.8,5
洛桑,55.8,5
施特劳宾,55.8,5
勒阿弗尔,55.2,5
茨木,54.6,5
阿斯塔纳,51.0,5